iter	Passed	Remaining
1026	2697	979
1027	2699	976
1028	2701	974
1029	2704	971
1030	2707	969
1031	2709	966
1032	2712	963
1033	2714	960
1034	2717	958
1035	2719	955
1036	2722	953
1037	2725	950
1038	2728	948
1039	2731	945
1040	2733	942
1041	2736	940
1042	2738	937
1043	2741	934
1044	2743	932
1045	2746	929
1046	2749	927
1047	2752	924
1048	2755	922
1049	2758	919
1050	2760	916
1051	2763	914
1052	2765	911
1053	2768	908
1054	2771	906
1055	2773	903
1056	2775	900
1057	2778	898
1058	2780	895
1059	2783	892
1060	2786	890
1061	2788	887
1062	2791	884
1063	2793	882
1064	2796	879
1065	2798	876
1066	2801	874
1067	2803	871
1068	2806	868
1069	2808	866
1070	2811	863
1071	2814	861
1072	2816	858
1073	2819	855
1074	2822	853
1075	2824	850
1076	2827	847
1077	2829	845
1078	2832	842
1079	2835	840
1080	2837	837
1081	2840	834
1082	2843	832
1083	2845	829
1084	2848	826
1085	2851	824
1086	2853	821
1087	2855	818
1088	2858	816
1089	2860	813
1090	2862	810
1091	2865	808
1092	2868	805
1093	2870	802
1094	2873	800
1095	2875	797
1096	2880	795
1097	2882	792
1098	2885	790
1099	2887	787
1100	2890	784
1101	2892	782
1102	2895	779
1103	2897	776
1104	2900	774
1105	2903	771
1106	2906	769
1107	2908	766
1108	2911	763
1109	2913	761
1110	2916	758
1111	2919	756
1112	2921	753
1113	2924	750
1114	2927	748
1115	2930	745
1116	2933	743
1117	2935	740
1118	2938	737
1119	2941	735
1120	2944	732
1121	2946	730
1122	2948	727
1123	2951	724
1124	2954	722
1125	2957	719
1126	2959	716
1127	2962	714
1128	2964	711
1129	2967	708
1130	2969	706
1131	2971	703
1132	2974	701
1133	2977	698
1134	2979	695
1135	2982	693
1136	2985	690
1137	2987	687
1138	2990	685
1139	2992	682
1140	2995	679
1141	2997	677
1142	3000	674
1143	3003	672
1144	3005	669
1145	3008	666
1146	3011	664
1147	3013	661
1148	3016	658
1149	3019	656
1150	3021	653
1151	3024	651
